№,名称,郵便番号,住所,方書,電話番号,市町村区分,ロタリックス,ロタテック,ＨＩＢ,小児用肺炎球菌,Ｂ型肝炎,四種混合,MR,水痘,日本脳炎,二種混合,子宮頸がん,高齢者インフルエンザ,高齢者肺炎球菌,BCG,経度,緯度
171,医療法人　とおやま耳鼻咽喉科,534-0012,都島区御幸町１―９―１,,6923-4187,都島区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5326916,34.71437884
172,田渕医院,534-0012,都島区御幸町２－５－３,,6921-0260,都島区,,,,,,,,,,,○,○,○,,135.5333184,34.71585435
173,医療法人　くぜ小児科,534-0013,都島区内代町２―１３―２,,6958-6210,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5374724,34.71176722
174,医療法人けやき会　やぎクリニック,534-0013,都島区内代町１―２―３２,サンシャイン８８　１階,6954-0100,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5369853,34.70864066
175,医療法人ふるおかクリニック,534-0013,都島区内代町２―３―２４,,6951-2666,都島区,,,,,,,○,○,○,○,,○,○,,135.5368482,34.71083432
176,医療法人　美喜有会　整形外科みきゆうクリニック,534-0013,都島区内代町１－７－１１,,6954-1155,都島区,,,,,,,,,,,,○,○,,135.5379891,34.70900592
177,よしだクリニック,534-0013,都島区内代町２－１３－２,,6958-5231,都島区,,,,,○,,,,,,,○,○,,135.5374724,34.71176722
178,耳鼻咽喉科いわはしクリニック,534-0013,都島区内代町２－７－３,オカダ本館ビル１階,6956-3387,都島区,,,,,,,,,,,,○,○,,135.5379643,34.71147159
179,医療法人京昭会ツヂ病院,534-0014,都島区都島北通１―２２―６,,6922-1236,都島区,,,,,,,,,,,,○,○,,135.5282871,34.71178497
180,小林産婦人科,534-0014,都島区都島北通１－１４－２４,,6924-0934,都島区,,,,,○,,,,,,○,,○,,135.5283066,34.71019036
181,中村耳鼻咽喉科,534-0014,都島区都島北通１－３－１８,,6925-7833,都島区,,,,,,,,,,,,○,,,135.5288501,34.70905544
182,おたきクリニック,534-0014,都島区都島北通１－１３－１３,,6180-6700,都島区,,,,,,,,,,,,○,○,,135.5280685,34.71131858
183,医療法人　武内小児科・内科,534-0015,都島区善源寺町２ー３ー２５,,6922-4158,都島区,,○,○,○,○,○,○,○,○,○,,○,,,135.5273419,34.71100488
184,医療法人梅本会　梅本耳鼻咽喉科,534-0015,都島区善源寺町１―５―５４,３Ｆ,6924-3387,都島区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5259631,34.7092113
185,つつみ整形外科・皮膚科クリニック,534-0015,都島区善源寺町２－２－２２,２Ｆ,6927-2231,都島区,,,,,,,,,,,,○,,,135.5244886,34.71180147
186,こおりやま小児科,534-0015,都島区善源寺町２－２－２２,２Ｆ,6926-1155,都島区,○,○,○,○,○,○,○,○,○,○,○,,,○,135.5244886,34.71180147
187,医療法人浩佑会　ごとう内科クリニック,534-0015,都島区善源寺町２－２－２２,善源寺メディカルモール２階,6924-8868,都島区,,,,,,,,,,,,○,○,,135.5244886,34.71180147
188,川端産婦人科,534-0015,都島区善源寺町２－２－２２,善源寺メディカルモール２Ｆ,6925-6603,都島区,,,,,,,,,,,○,○,,,135.5244886,34.71180147
189,医療法人　たにクリニック,534-0016,都島区友渕町３―４―２２ー１０４,,6925-3655,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5307471,34.71966883
190,あさいこどもクリニック,534-0016,都島区友渕町２―１―５,,6926-1850,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5278996,34.71286555
191,ふなうち内科クリニック,534-0016,都島区友渕町２―１―５,,4253-5070,都島区,,,,,,,,,,,,○,○,,135.5278996,34.71286555
192,柏井内科,534-0016,都島区友渕町１―６―３,ローレルスクエア都島ノースウィング１階,6926-3101,都島区,,,,,,,○,○,○,○,○,○,○,,135.5264929,34.71526725
193,ふみもとクリニック,534-0016,都島区友渕町２－１５－７,ＭＹＳビル２Ｆ,6922-2100,都島区,,,,,,,,,○,,,○,○,,135.5301033,34.71745358
194,中医院,534-0021,都島区都島本通５―１―１３,,6921-5922,都島区,,,,,,,,,,,,○,,,135.5350333,34.70604126
195,医療法人　泉野医院,534-0021,都島区都島本通４―２０―３５,,6921-0187,都島区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5305895,34.70804148
196,医療法人竹村クリニック,534-0021,都島区都島本通３―７―８,高橋ビル１Ｆ,6921-3541,都島区,,,,,,,,,,,,○,○,,135.5267323,34.70704237
197,コープ都島クリニック,534-0021,都島区都島本通３ー１７ー１０,,6923-3719,都島区,,,,,,,,,○,○,○,○,○,,135.5273724,34.70810877
198,医療法人医聖会玉城クリニック,534-0021,都島区都島本通１―２１―２２,メディコート２階,6925-0806,都島区,,,,,,,,,,,,○,○,,135.5233778,34.70988693
199,くぼ整形外科クリニック,534-0021,都島区都島本通１－７－１９,都島楠風ビル２階,6924-7070,都島区,,,,,,,,,,,,○,,,135.5253214,34.70900343
200,遠藤クリニック,534-0021,都島区都島本通３－１６－１０,福祉ビル１Ｆ,6929-0601,都島区,,,,,,,○,○,○,○,○,○,○,,135.5285497,34.70779992
201,梅川クリニック,534-0021,都島区都島本通３－２４－７,Ｋ－１ビル　４Ｆ,6167-7788,都島区,,,,,,,,,,,,○,○,,135.5272244,34.70881982
202,医療法人誠翠会　いわた耳鼻咽喉科アレルギー科クリニック,534-0021,都島区都島本通３－２０－３,,6928-0234,都島区,,,,,,,,,,,,○,○,,135.5260748,34.70775919
203,ひげクリニック,534-0021,都島区都島本通３－２４ー６,西田ビル１階,6929-5858,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5270529,34.70882958
204,祐クリニック,534-0021,都島区都島本通３－２８－１２,,6926-0103,都島区,,,○,○,○,○,○,○,○,○,○,○,○,,135.5299656,34.70868379
205,杉本泌尿器科,534-0021,都島区都島本通２－１４－４,カルナビル３階,6929-2100,都島区,,,,,,,,,,,,○,○,,135.5244297,34.70859935
206,医療法人緑樹会かわい内科・胃腸内科クリニック,534-0021,都島区都島本通２－１４－６,,6180-6600,都島区,,,,,○,,,,,,,○,○,,135.5245392,34.70861034
207,医療法人かわさきクリニック　糖尿病内科・内科かわさきクリニック,534-0021,都島区都島本通２－１４－４,カルナビル２階,6929-7500,都島区,,,,,,,,,,,,○,○,,135.5244297,34.70859935
208,社会福祉法人都島友の会特別養護老人ホームひまわりの郷,534-0021,都島区都島本通４―１０―１９,,6924-8880,都島区,,,,,,,,,,,,○,○,,135.5319165,34.70698985
209,駒木医院,534-0022,都島区都島中通２―５―１４,,6921-7361,都島区,○,,○,○,○,○,○,○,○,○,,○,○,,135.533821,34.70340775
210,山本医院,534-0022,都島区都島中通３ー５ー１６,,6921-0182,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,,135.5358221,34.70370232
211,橋爪医院,534-0022,都島区都島中通３―４―５,101,4253-3337,都島区,,,,,,,,,,,,○,○,,135.5352944,34.70292149
212,社会医療法人明生会　介護老人保健施設　桜の宮苑,534-0022,都島区都島中通１―７―１,,6923-5656,都島区,,,,,,,,,,,,○,○,,135.5286123,34.70498661
213,京橋耳鼻咽喉科,534-0023,都島区都島南通２－４－１７,,6921-0242,都島区,,,,,,,,,,,,○,○,,135.5344359,34.70079432
214,医療法人桜希会　東朋病院,534-0023,都島区都島南通２ー８ー９,,6923-6226,都島区,,,,,,,,,,,,○,○,,135.531872,34.70275612
215,医療法人柳田内科,534-0023,都島区都島南通２―４―８,,6922-5245,都島区,,,,,,,○,○,,○,,○,○,,135.5335917,34.70104577
216,さいじょうクリニック,534-0023,都島区都島南通２－１４－２５,,6927-2727,都島区,,,,,,,,,,,,○,,,135.5350239,34.70183414
217,社会医療法人明生会明生病院,534-0024,都島区東野田町２―４―８,,6353-3121,都島区,,,,,,,,,,,,○,○,,135.5323663,34.6979827
218,社会医療法人明生会明生記念病院,534-0024,都島区東野田町２－８－１２,,6357-5791,都島区,,,,,,,,,,,,○,○,,135.5307752,34.6979749
219,医療法人坂口診療所,534-0024,都島区東野田町５―２―２３,京橋セントラルビル２階,6358-0168,都島区,,,,,,,,,,,,○,,,135.5342474,34.69902087
220,医療法人藤井クリニック,534-0024,都島区東野田町１―２１―７,ＹＴビル２階,6352-5100,都島区,,,,,,,,,,,,○,,,135.5286825,34.6976789
221,医療法人社団　宏久会　泉岡医院,534-0024,都島区東野田町５－５－８,,6922-0890,都島区,○,,○,○,○,○,○,○,○,○,,○,○,,135.5350657,34.69981802
222,鈴木内科クリニック,534-0024,都島区東野田町２―９―７,Ｋ２ビル１階,6351-1002,都島区,,,○,○,,○,○,○,○,○,○,○,○,,135.5313747,34.6982154
223,医療法人慈修会青木医院,534-0024,都島区東野田町２―２―２１,,6351-7155,都島区,,,,,,,,,,,,○,○,,135.5306804,34.69655818
224,医療法人　正正会　分野病院,534-0024,都島区東野田町５―３―３３,,6351-0002,都島区,,,,,,,,,,,,○,,,135.5354683,34.69924513
225,京橋杉本クリニック,534-0024,都島区東野田町２―４―１５,植嶋ビル５Ｆ,6242-8419,都島区,,,,,,,,,,,,○,,,135.5325429,34.69770589
226,医療法人　正正会　京橋さくらクリニック,534-0024,都島区東野田町３－１３－９,,6354-9000,都島区,,,,,,,,,,,,○,,,135.5356267,34.69903853
227,しおじレディースクリニック,534-0024,都島区東野田町２－３－１９,ＭＦＫ京橋駅前ビル３Ｆ,6355-5010,都島区,,,,,,,,,,,,○,,,135.5319021,34.69722168
228,大阪京橋ゆたかクリニック,534-0024,都島区東野田町３－１－１７,,6357-3450,都島区,,,,,,,,,,,○,○,○,,135.5355924,34.69710142
229,京橋駅前クリニック,534-0024,都島区東野田町５－２－２９,サンパティオビル１階,6358-3387,都島区,○,,○,○,○,○,○,○,○,,,○,○,,135.5336595,34.69890142
230,沢田医院,534-0025,都島区片町２―９―３９,,6351-3980,都島区,,,,,,,,,,,,○,,,135.5279147,34.69436655
231,医療法人北村医院,534-0025,都島区片町２―４―５,京橋駅前ビル１階,6351-6764,都島区,,,,,,,,,,,,○,○,,135.532554,34.6968178
232,医療法人ますたに呼吸器クリニック,534-0025,都島区片町１―５―４―４,,6351-2322,都島区,,,,,,,,,,,,○,,,135.522691,34.69149688
233,医療法人尽生会　聖和病院,534-0027,都島区中野町１―７―３２,,6352-2525,都島区,○,,○,○,○,○,○,○,○,○,○,○,○,○,135.5255315,34.69885258
234,こばし内科クリニック,534-0027,都島区中野町３―５―３７,,6882-2385,都島区,,,,,,,,,,,,○,○,,135.5288526,34.70174423
235,安芸医院,534-0027,都島区中野町１―３―１８,,6881-2005,都島区,,,,,,,,,,,,○,○,,135.5260375,34.69780838
236,医療法人紀光会　平井クリニック,534-0027,都島区中野町５―１３―４,タワープラザアベニュー１階,6929-8028,都島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.5209287,34.70804797
237,すぎもと医院,534-0027,都島区中野町５－３－１８,,6924-7077,都島区,,,,,,,,,,,,○,○,,135.5215726,34.70529471
238,医療法人気象会　介護老人保健施設　東雄苑都島,534-0027,都島区中野町１―１３―１２,,6135-0505,都島区,,,,,,,,,,,,○,○,,135.5238606,34.70143635
239,社福）治栄会からまつ苑,534-0027,都島区中野町５―１０―７０,,6922-3300,都島区,,,,,,,,,,,,○,○,,135.5240132,34.70568684
240,医療法人友愛会　松本病院,553-0001,福島区海老江２―１―３６,,6458-7171,福島区,,,,,,,,,,,,○,○,,135.4746867,34.6957468
241,梅田医院,553-0001,福島区海老江７―１０―１４,,6458-6531,福島区,,,,,○,,○,,,,,○,○,,135.4715959,34.69624448
242,特養グリーン野田附属診療所,553-0001,福島区海老江２ー１ー３６,,6454-1820,福島区,,,,,,,,,,,,○,,,135.4746867,34.6957468
243,林クリニック,553-0001,福島区海老江７―２０―８,,6458-6328,福島区,,○,○,○,○,○,○,○,○,○,,○,○,,135.4689963,34.69592596
244,やまなかクリニック,553-0001,福島区海老江２－１－４,アーバネックス野田阪神駅前１Ｆ,6343-8700,福島区,,,,,,,,,,,,○,,,135.4746058,34.69501032
245,医療法人あさひ耳鼻咽喉科,553-0001,福島区海老江１－２－１７,阪神野田駅前ノースサイドビル１Ｆ,6452-3387,福島区,,,,,,,,,,,,○,,,135.4771736,34.69530195
246,医療法人さのこどもクリニック,553-0001,福島区海老江１－２－１７,阪神野田駅前ノースサイドビル３Ｆ,6940-6105,福島区,○,○,○,○,○,○,○,○,○,○,,○,,○,135.4771736,34.69530195
247,田仲循環器科・内科医院,553-0002,福島区鷺洲３―７―２７,東海ビル,6451-8708,福島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4774332,34.69809013
248,医療法人千扇会　はった耳鼻咽喉科,553-0002,福島区鷺洲５―６―６９,フローレンスヴィラさぎす１階,6453-4187,福島区,,,,,,,○,,,,,○,,,135.4800223,34.69871225
249,松本クリニック,553-0002,福島区鷺洲５－９－８,,6453-8651,福島区,,,,,,,,,,,,○,○,,135.4780991,34.7002149
250,阪神野田駅前ファミリークリニック,553-0002,福島区鷺洲１－１１－１４－１０１,,6450-4976,福島区,,,,,,,○,,,,,○,○,,135.4772236,34.69498537
251,医療法人福雅会　サギス中クリニック,553-0002,福島区鷺洲２－５－１３,,6455-1501,福島区,,,,,,,,,,,,○,○,,135.4804815,34.69721842
252,医療法人嘉祥会　よしの内科クリニック,553-0002,福島区鷺洲１－７－２９,パレット１階,6451-7149,福島区,,,,,○,,,,,,,○,○,,135.4789077,34.69552039
253,医療法人木もれ日会　阪神野田駅前ファミリークリニック,553-0002,福島区鷺洲１－１１－１４,101,6450-4976,福島区,,,,,,,,,,,,○,○,,135.4772236,34.69498537
254,上福島診療所,553-0003,福島区福島７－４－２７,,6451-3001,福島区,,,,,,,,,,,,○,○,,135.4853525,34.69739783
255,前川医院,553-0003,福島区福島８ー１６ー１０,,6452-0778,福島区,○,,○,○,○,○,○,○,○,○,,○,○,,135.4838851,34.6972109
256,医療法人臨研会今川クリニック,553-0003,福島区福島６－４－１０,ウエストビル２Ｆ,6442-9780,福島区,,,,,,,,,,,,○,○,,135.4875023,34.69913638
257,渡辺医院,553-0003,福島区福島４―５―５８,,6441-5323,福島区,,,,,,,,,,,,○,,,135.4839848,34.69366165
258,浄正診療所,553-0003,福島区福島２―１０―２３,,6451-0565,福島区,,,,,,,,,,,○,○,○,,135.4865531,34.69496771
259,くらます耳鼻咽喉科クリニック,553-0003,福島区福島１－１－５１,堂島クロスウォーク４階,6343-3387,福島区,,,,,,,,,,,,○,,,135.4892524,34.69487185
260,おおしもクリニック,553-0003,福島区福島５－１６－１５,福島宮脇ビル３Ｆ,4796-7561,福島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4852812,34.69620487
261,糖尿病・代謝内科宮田クリニック,553-0003,福島区福島５－１７－２１,池田ビル５Ｆ,6457-1020,福島区,,,,,,,,,,,,○,○,,135.4843757,34.69556816
262,医療法人優幸会　中村クリニック,553-0003,福島区福島７ー６ー２３－３０３,,6455-8755,福島区,,,,,,,,,,,,○,○,,135.4868817,34.69752007
263,腎・泌尿器科はやしクリニック,553-0003,福島区福島５－１８－２５　３Ｆ,,6343-8803,福島区,,,,,,,,,,,,○,,,135.484421,34.69600332
264,ちかこどもクリニック,553-0003,福島区福島５－１８－２５　３Ｆ,,6453-8341,福島区,○,○,○,○,○,○,○,○,○,○,○,○,,○,135.484421,34.69600332
265,医療法人康心会消化器内視鏡クリニック大阪福島院,553-0003,福島区福島５－１８－２５,阪神エヌケー共同ビル３階,6454-9000,福島区,,,,,,,,,,,,○,○,,135.484421,34.69600332
266,医療法人百玄会　こどもクリニックきじま,553-0003,福島区福島５－６－１６,４階,6131-9857,福島区,○,○,○,○,○,○,○,○,○,○,○,○,○,○,135.4872493,34.69688183
267,医療法人啓信会　大阪整形外科病院,553-0003,福島区大開４－３－６１,,6463-1111,福島区,,,,,,,,,,,,○,○,,135.465217,34.68729259
268,中之島いわき整形外科,553-0003,福島区福島６－１３－４,,6454-8155,福島区,,,,,,,,,,,,○,,,135.4878267,34.70003939
