医療機関名,住所,予約受付番号,受付_Web,受付_来院,受付_電話,受付_電話_曜日,受付_電話_時間,受付_電話_備考,受入_一般の方,受入_かかりつけの方,受入_妊婦,受入_こども_対象年齢,経度,緯度,URL,自由記入欄,ファイザー実施機関,モデルナ実施機関,ファイザー製ワクチン予約空き情報,モデルナ製ワクチン予約空き情報
よしかクリニック,大阪市東淀川区大道南3-14-4,,,1,,,,,,1,1,16歳,135.5473575,34.74480812,https://yoshika-clinic.com/,,1,,,
ごとう内科・消化器内科,大阪市東淀川区東淡路4-17-17　3階,06-6195-5107,,,1,月・火・木・金,13:00～15:00,,,1,1,16歳,135.5171799,34.73872218,https://gh-gotoh-cl.com/,,1,,,
くりもと循環器クリニック,大阪市東淀川区南江口2-7-29,06-6195-6211,,,1,①月・水・金 ②火 ③土,①9:30～13:00 16:30～19:00 ②9:30～15:00 ③9:30～13:00,,,1,,,135.5502233,34.75437423,https://www.kcvc.jp/,,1,,,
医療法人　きど内科・小児科クリニック,大阪市淀川区十三東4-3-41　原田ビル101,06-6195-7037,,1,1,月～土,10:00～12:00,かかりつけ患者およびその家族,,1,1,12歳,135.4865341,34.724594,,,1,,,
片岡医院,大阪市中央区今橋3-2-17　緒方ビル1階,06-6201-1040,,1,1,①月・火・水・金 ②土,①10:30～12:30 15:00～17:00 ②10:00～12:00,かかりつけの親族友人等の受入可。,,1,1,12歳,135.5028892,34.69030027,http://www.chuoku-higashi.osaka.med.or.jp/hospital/cat39/post_97.html,,1,,02若干空き有り,
医療法人　中田クリニック,大阪市中央区北浜1-1-21　第2中井ビル8階,06-6201-5787,,,1,,,受診時に予約,,1,,,135.507954,34.69151124,http://nakata-clinic.biz/,,1,,,
杉林内科クリニック,大阪市中央区高麗橋1-5-11　北浜旭ビル2階,06-6202-2212,,,1,月～金,9:30～13:00 15:00～18:00,,1,1,1,12歳,135.5078477,34.68956228,http://www.sugibayashi.dr-clinic.jp/,,1,,,
一般財団法人大阪府結核予防会　相談診療所,大阪市中央区道修町4-6-5,06-6202-6673,,,1,月～金,13:30～16:30,,1,1,,,135.4986891,34.68832792,https://www.jata-osaka.or.jp/facilities.html,,1,,,
じょうまえクリニック,大阪市中央区南船場1丁目9-1　ワイケー南船場ビル2階,06-6210-3451,1,,1,,,,1,1,,12歳,135.5091902,34.67649779,https://www.joumae-clinic.com/,,1,,,
医療法人すずらん会　ながしま脳神経外科リハビリクリニック,大阪市淀川区新高2丁目3-2　新高クリニックセンタービル1・2階,06-6210-6175,,,1,,,,1,1,1,16歳,135.4761655,34.72897327,https://www.nnrc.jp/,,1,,,
河合眼科,大阪市平野区長吉長原東1-7-16-107,06-6709-2230,,1,1,月・火・水・金・土,10:00～13:00,,1,1,1,12歳,135.5760732,34.60594111,http://osaka-ganka.jp/clinic/%E6%B2%B3%E5%90%88%E7%9C%BC%E7%A7%91/,,1,,,
医療法人　中村医院,大阪市天王寺区玉造元町4-3,,,,,,,,,1,1,12歳,135.5315095,34.67382473,http://www.myclinic-nakamura.jp/,,1,,,
医療法人藤広育生会　ふじたクリニック,大阪市中央区島之内2-11-20 島之内ビル2階,06-6213-6677,,,1,月・火・木・金,9:00～18:00,,,1,1,12歳,135.5072521,34.67057592,https://www.fujita-clinic.info/,,1,,,
医療法人淑蘭会　上本町ヒロミレディースクリニック,大阪市天王寺区上本町6-6-26　上六光陽ビル3階,06-6777-8824,,,1,,,予約日時については事前に医院HPを要確認,1,,1,12歳,135.519472,34.66443526,https://hirocli.com/,,1,,,
すぎた内科クリニック,大阪市西区江戸堀2-6-25-103,06-6225-7822,,,1,診療日,9:30～13:00 16:00～18:30,,,1,,16歳,135.489295,34.68732642,https://sugitaclinic.com/,,1,,,
医療法人大織会　大織診療所,大阪市中央区瓦町2-6-9　大織健保会館2・3階,06-6226-0250,,,1,,,,,1,1,12歳,135.5041207,34.6859379,http://www.daiori-kenpo.or.jp/health_promotion/clinic.html,,1,,,
曲直部クリニック,大阪市中央区伏見町2-5-7　岡田伏見町ビル2階,06-6226-4080,,,1,,,,1,,1,12歳,135.5040325,34.68919931,https://manabe-clinic.net/,,1,,,
本町林クリニック,大阪市中央区本町3丁目2-6　イケガミサウスビル1階,06-6226-8451,,1,1,①月～金 ②土,①9:00～13:00 15:00～18:30 ②9:00～13:00,,1,,,,135.5030344,34.68333925,http://honmachi-hayashi.com/,,1,,,
虎谷診療所,大阪市中央区高麗橋1-5-14　メゾンドール高麗橋801,06-6228-1307,,,1,月・木,14:00～15:30,,,1,1,16歳,135.5076289,34.68959704,https://toratani-kanpo.com/,,1,,,
医療法人　むらのクリニック,大阪市中央区道修町4-4-10　KDX小林道修町ビル1階,06-6228-3232,,1,1,①月・火・金 ②水・木・土,①9:30～12:30 16:00～17:30 ②9:30～12:30,,,1,,16歳,135.4991008,34.68865937,https://murano-clinic.com/,,1,,03予約可能,
医療法人駿真会　高野医院,大阪市鶴見区横堤5-5-60,06-6915-1595,,,1,月・火・水・金,12:00～13:15 18:00～19:15,1、2回目を当院で接種された方は医院から連絡,,1,1,16歳,135.5731284,34.70469712,https://www.tsurumi.osaka.med.or.jp/info_2/409.html,,1,,,
宮本内科,大阪市中央区北浜3-1-8,,,1,,,13:00～16:00,,,1,1,12歳,135.5029922,34.69234937,http://www.chuoku-higashi.osaka.med.or.jp/hospital/cat9/post_79.html,,1,,,
医療法人　橋本膠原病リウマチクリニック,大阪市中央区瓦町3-5-7　野村不動産御堂筋ビル4階,,,1,,,,,,1,,,135.5015806,34.68617475,https://www.hashimoto-rheumachi.jp/,,1,,,
安田クリニック,大阪市中央区心斎橋筋1-4-7,06-6252-7010,,,1,月～土,9:00～12:00,,1,,1,12歳,135.5022392,34.67278905,https://www.osaka-minami-med.or.jp/map/syousai/109.html,,1,,,
医療法人大生會　さくま診療所,大阪市中央区東心斎橋1-14-14　TKビル2階,06-6241-5814,,,1,,,原則かかりつけ患者の方,,1,1,12歳,135.5037197,34.67280368,https://www.sakumaclinic.com/,,1,,,
さゆり女性クリニック,大阪市西区新町4-6-23,06-6535-7238,,,1,①月・火・金 ②水 ③土,①9:00～17:00 ②9:00～14:00 ③9:00～12:00,,,1,1,16歳,135.4860928,34.67730467,https://sayuri-cl.com/,,1,,,
栗山クリニック,大阪市中央区北久宝寺町2-5-5　ロベルビル2階,06-6251-2556,,,1,①水・木 ②月・火・金,①10:00～11:30 ②15:00～17:30,,,1,,16歳,135.5043478,34.68004071,http://www.chuoku-higashi.osaka.med.or.jp/hospital/cat9/post_36.html,,1,,,
船場医院　大山,大阪市中央区久太郎町4-2-7,06-6251-6149,,,1,月～金,9:00～18:00,,1,1,1,12歳,135.4985868,34.68158957,http://www.chuoku-higashi.osaka.med.or.jp/hospital/cat9/post_66.html,,1,,,
クマタカ小林クリニック,大阪市中央区北久宝寺町3-6-11,070-8410-6966,,,1,月・火・木・金,10:00～12:00,当日身分証明・接種券の持参必須,1,1,,16歳,135.5014347,34.6798736,http://www.kumataka-clinic.com/,,1,,,
医療法人二天会　久保こう門胃腸科クリニック,大阪市中央区南船場1-1-3　クボクリニックビル,06-6260-2577,,1,1,火曜,14:00～16:00,,,1,1,,135.5106539,34.67693471,https://www.kubo-clinic.com/,,1,,02若干空き有り,
医療法人美龍会　はやしレディース肛門泌尿器科クリニック,大阪市中央区安堂寺町2-6-3　アイズワンⅢ2階,06-6770-5514,,1,1,月・火・木・金・土,13:30～16:00,,1,,1,12歳,135.5139463,34.67630851,https://hayashi-lady.com/,,1,,03予約可能,
ゆきおかクリニック,大阪市生野区桃谷2-17-18,06-6718-3939,,,1,月・火・木・金,14:00～16:00,,1,1,1,16歳,135.5331768,34.65981472,https://yukioka-cl.com/,1月21日（金）の分若干空き有り。,1,,02若干空き有り,
船場森野クリニック,大阪市中央区南久宝寺町2-1-9　船場メディカルビル3階,06-6267-6601,,,1,,,,1,1,1,16歳,135.5057748,34.67924472,http://www.morino-clinic.jp/,,1,,,
大島内科医院,大阪市中央区心斎橋筋1-1-2　心斎橋クラシック10階,06-6271-8466,,1,1,,診療時間内,診療時間内で電話予約または来院,,1,,12歳,135.5022486,34.67477438,https://www.osaka-minami-med.or.jp/map/syousai/029.html,,1,,,
医療法人東迎会　東迎クリニック,大阪市中央区南船場3-3-5　OKTビル2階,,,1,,①水・金 ②木,①終日 ②13:00まで,予約時接種券・接種済証持参,1,1,,,135.5033009,34.67622503,http://tohgei-cl.byoinnavi.jp/pc/,,1,,,
医療法人美和会　平成クリニック,大阪市北区中津一丁目11番6号,06-6292-0006,,,1,,9:00～12:00 15:00～18:00,,1,1,,,135.4963485,34.71110594,http://heisei-clinic.com/clinic/index.html,,1,,,
イークリニック,大阪市北区本庄西1-13-15　ファッションナオミ1階,06-6292-0166,,,1,①月・火・水・金 ②木・土,①9:00～12:00 15:30～17:30 ②9:00～12:00,電話予約は健診センター時間内のみ,1,,,12歳,135.5040579,34.71180665,https://goleeclinic.com/,,1,,,
木戸内科医院,大阪市淀川区十三元今里1-9-26,06-6300-1156,,,1,月～土,9:30～12:30,,,1,,,135.4755126,34.71714177,,,1,,,
外科　豊田医院,大阪市淀川区十三東3-14-4,06-6301-3622,,,1,,,,,1,1,12歳,135.4856006,34.7213579,,,1,,,
医療法人栄弘会　宮下内科,大阪市淀川区三津屋北1-6-3,06-6301-4693,,1,,①月～金 ②土,①9:00～12:00 16:00～20:00 ②9:00～12:00,電話は問い合わせのみ対応,,1,1,12歳,135.4729316,34.73117039,,,1,,,
医療法人敬節会　西中島クリニック,大阪市淀川区西中島3-2-11,06-6301-5591,,,1,①月・火・水・金 ②木(第1・3・5）・土,①9:00～16:00 ②9:00～12:00,,,1,,16歳,135.5012156,34.72595879,http://www.nishinakajimaclinic.com/,,1,,,
秀壮会クリニック,大阪市淀川区塚本2-19-12,06-6302-1138,,1,1,月～金,13:00～16:00,来院予約：月～金9：00～19：00、土9：00～12：00,,1,,16歳,135.4705585,34.71285737,https://shusokai.jp/,,1,,,
池永ペインクリニック内科,大阪市淀川区木川西2-15-14,06-6302-6767,,,1,,,1.2回目を当クリニックで接種した方のみ,,1,,,135.4895365,34.7244366,http://www.ikenaga-pcn.jp/,,1,,,
医療法人　細江クリニック,大阪市淀川区十三東3-5-13,06-6303-7814,,,1,,,,,1,1,12歳,135.487418,34.72248272,http://www.hosoe-clinic.com/,,1,,,
沢井産婦人科医院,大阪市住吉区遠里小野3-4-8,06-6694-1115,,,1,,,,1,,1,12歳,135.4994552,34.59460454,http://www.sawai-lc.com/,,1,,,
医療法人　岡部耳鼻咽喉科医院,大阪市平野区長吉六反2-6-39,06-6709-4849,,,1,,,,1,,1,12歳,135.5793526,34.60641618,,木曜日休診,1,,03予約可能,
石井クリニック,大阪市淀川区塚本2-24-8　タバタビル4階,06-6307-1120,,,1,,診療時間内,かかりつけ患者からの診療時間内での電話予約のみ受付ける。,,1,1,12歳,135.469505,34.71290448,http://www.ishii-kodomo-clinic.com/,,1,,,
医療法人すみれ会　今井クリニック,大阪市淀川区西中島6-5-21　グリットビル2階,06-6829-7926,,,1,月～土,14:00～16:00,,1,1,1,12歳,135.4970831,34.72875703,http://www.imaiclinic.com/,R4年1月24日（月）から予約受付開始,1,,01予約不可能,
西村内科・神経内科クリニック,大阪市淀川区加島3-8-16,06-6307-4114,,,1,月・火・木・金,10:00～12:00,,,1,1,16歳,135.4550493,34.72998891,https://www.nishimura-neurology.com/,,1,,,
医療法人明青会　あやこレディースクリニック,大阪市東成区中道3-16-15　ソレアード玉造2階,06-6753-7416,1,,1,,,,1,1,1,12歳,135.5341675,34.67485588,https://ayako-clinic.com/,,1,,03予約可能,
医療法人　井上クリニック,大阪市淀川区十三元今里1丁目7番22号,06-6308-7427,,,1,①月・火・木・金 ②水・土,①9:00～12:30 16:00～19:00 ②9:00～12:30,かかりつけ患者のみ,,1,1,12歳,135.4754463,34.71824217,,,1,,,
医療法人秀壮会　第２秀壮会クリニック,大阪市淀川区十三本町1-12-15,06-6154-1154,,,1,①月・火・水・金 ②木・土,①9:00～12:30 16:30～18:30 ②9:00～12:30,,,1,1,12歳,135.4792742,34.7202071,https://dai2-shusokai.jp/,,1,,,
医療法人恵真会　なかにしキッズクリニック,大阪市淀川区三津屋北1-16-5　アドモアコート神崎川1階,,,1,,,,,,1,1,12歳,135.4725304,34.7286946,http://nakanishikidsclinic.jp/,土曜日,1,,03予約可能,
医療法人　吉田クリニック,大阪市淀川区十三元今里1-13-18,,,1,,,,かかりつけ患者とその家族,,1,,,135.4748184,34.71827538,https://www.yoshidaclinic-juso.com/,,1,,,
医療法人緒方会　緒方会クリニック,大阪市淀川区十三元今里2-10-11,06-6309-4647,,1,1,,,,,1,,16歳,135.4754145,34.72016786,http://www.ogatakai-clinic.com/index.html,,1,,,
医療法人見宜堂　梅田血管外科クリニック,大阪市北区曽根崎2-1-12　国道ビル5階,06-6311-2856,,,1,月・火・水・金,14:00～18:00,,1,1,1,12歳,135.5018009,34.69844672,https://www.umeda-vvc.com/,,1,,,
医療法人阪急共栄会　東阪急ビル診療所,大阪市北区角田町1-1　東阪急ビル2階,06-6313-0126,,,1,水・金,13:30～16:00,,,1,,,135.5014026,34.7040564,,,1,,,
医療法人　西村耳鼻咽喉科,大阪市北区角田町8-47　22階,06-6315-7771,,,1,月～金,9:30～13:00 14:00～17:00,1/18～予約受付開始,,1,,,135.4999942,34.70276676,http://www.hgbcc.com/clinic/nisimura.html,,1,,,
医療法人慈真会　安田内科クリニック,大阪市東淀川区淡路3-20-23,06-6320-1010,,1,,,9:00～12:00,かかりつけの親族、近隣の方は受入可,,1,,,135.5137999,34.7402858,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=158,,1,,,
井上内科,大阪市東淀川区上新庄2丁目8-23,06-6320-2761,,1,1,①月・火・金 ②木・土 ③水,①9:00～12:00 16:00～18:30 ②9:00～12:00 ③9:00～12:00 14:30～16:30,,,1,,12歳,135.5319897,34.7468318,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=43,,1,,,
山本クリニック,大阪市東淀川区豊里2-1-4-109,06-6320-3533,,,1,月～金,10:00～12:00 17:00～18:00,,,1,,12歳,135.5403178,34.73694376,http://yamamoto-clinic.sub.jp/index.html,,1,,,
白山クリニック,大阪市東淀川区豊里7-33-7,06-6320-9595,,1,1,月～金,10:00～12:00 17:00～19:00,,,1,,12歳,135.5390976,34.74554694,http://www.shirayama-clinic.jp/,,1,,,
医療法人　河東クリニック,大阪市東淀川区小松四丁目10番12号,06-6321-3150,,1,1,月・火・木・金,9:00～12:00,,,1,,,135.5437851,34.75398306,,,1,,,
まきながクリニック,大阪市東淀川区淡路3-20-17-202,06-6321-3733,,,1,,診療時間内,,,1,,16歳,135.5131413,34.74049826,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=111,,1,,,
渋川医院,大阪市東淀川区淡路3-13-24,06-6322-5877　,,,1,水,12:00～12:30,,,1,,12歳,135.5138045,34.73883538,http://shibukawa-clinic.com/,,1,,01予約不可能,
医療法人俊英会　内田医院,大阪市東淀川区下新庄4-11-21,,,,,,,,,1,1,,135.519167,34.74781759,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=77,,1,,,
医療法人　いしかわ耳鼻咽喉科クリニック,大阪市東淀川区淡路4-4-10,06-6322-6807,,,1,月・火・水・金・土,10:00～12:00　16:30～18:30,,,1,1,,135.5163492,34.73957996,http://wheathippo7.sakura.ne.jp/,,1,,,
医療法人　中尾医院,大阪市東淀川区菅原5-7-11,06-6322-6816,,1,1,①月・火・水・金 ②木・土,①8:30～12:00 17:00～19:00 ②8:30～12:00,かかりつけ患者の親族受入可,,1,,,135.519233,34.74008537,https://www.nakao-clinic.or.jp/,,1,,,
医療法人桃和会　うえのクリニック,大阪市東淀川区大桐1-7-16,06-6323-0011,,,1,月・火・水・金,14:00～15:00,,,1,,,135.5437842,34.74547824,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=148,,1,,,
松岡医院,大阪市東淀川区淡路5-1-19,,,1,,,,,,1,1,12歳,135.5182002,34.74111013,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=118,,1,,,
医療法人あけぼの会　あけぼのＧＭクリニツク,大阪市東淀川区西淡路2-15-5,06-6323-2650,,1,1,月～水,9:00～19:00,来院予約は診療時間内,,1,1,,135.5065586,34.7386027,https://www.akebonokai.or.jp/,,1,,,
おおはらクリニック,大阪市東淀川区西淡路1-15-10　淀川グリーンハイツ1階,06-6323-3660,,1,1,,,,,1,,16歳,135.5057772,34.739685,https://ohara-cl.jp/,,1,,,
てんのうじちひろウィメンズクリニック,大阪市天王寺区茶臼山町4-16,090-6201-4785,,,1,月・火・水・金・土,10:00～12:00,,,1,1,,135.5126173,34.64901458,https://chihiro-wcl.com/,,1,,,
ひろざね内科・循環器科,大阪市東淀川区豊里4-5-21　大光ビル1階,06-6323-6081,,1,1,①月・火・木・金 ②水・土,①9:30～12:30 16:30～19:00 ②9:30～12:30,,,1,1,,135.5407031,34.73859595,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=145,,1,,,
玉谷クリニック,大阪市東淀川区小松1-7-15,,,1,,,,,,1,,,135.5358014,34.75069537,http://tamatani-clinic.com/,,1,,,
医療法人石田クリニック,大阪市東淀川区豊新三丁目25番19号,06-6325-0246,,1,1,,,,,1,,,135.53313,34.74584157,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=56,,1,,,
宇野外科整形外科医院,大阪市東淀川区東淡路1-5-1-105,,,1,,,,,,1,,,135.5203445,34.73432127,https://www.higashiyodo-med.org/database/yodmeddb.cgi?cmd=dp&num=123,,1,,,
坂本産婦人科クリニック,大阪市東淀川区瑞光4-12-36,06-6326-4103,,1,1,①月・火・金 ②水・土,①9:00～12:00 17:00～19:00 ②9:00～12:00,,1,,1,12歳,135.5493921,34.75299623,http://www.sakamoto-baby.com/,,1,,,
たはし内科クリニック,大阪市東淀川区瑞光4-1-18　サンピア21　1階,06-6326-7460,,1,1,,,かかりつけ患者,,1,,,135.5449947,34.75096263,https://tahashi-clinic.com/,,1,,,
医療法人　やまもと整形外科,大阪市東淀川区豊里7-10-17,06-6326-7778,,1,,①月・火・木・金 ②水・土,①9:00～12:00 16:00～19:00 ②9:00～12:00,電話予約不可,,1,,,135.5444746,34.74370388,https://website2.infomity.net/8030000152/,,1,,,
ゆうメディカルクリニック,大阪市東淀川区豊新一丁目21番29号,,1,,,,,,,1,,,135.5345052,34.7423352,https://clinic.koseikai-jp.com/,,1,,01予約不可能,
医療法人若葉会　淀川若葉会病院,大阪市東淀川区豊新五丁目15番25号,06-6327-0871,,1,1,①月～金 ②土,①9:00～16:30 ②9:00～11:30,,,1,,16歳,135.5358379,34.74686174,http://yodogawa.wakabakai-hp.com/,,1,,,
